"AcceptingNewPatients","Accessibility","AccountID","AccountName","ActiveMHDesignation","ActiveRSSOLicense","ActiveSUDLicense","AddressOneLine","CommunityMentalHealthCenter","CommunityMentalHealthClinic","DUIDWI","DisplayName","Fees","HideAddress","HoursofOperationFriday","HoursofOperationMonday","HoursofOperationSaturday","HoursofOperationSunday","HoursofOperationThursday","HoursofOperationTuesday","HoursofOperationWednesday","LanguagesSpoken","MentalHealthSettings","OffersTelehealth","OpioidTreatmentPrograms","Phone","PopulationServed","ProviderDirectoryFormModifiedDate","ProviderLocationDisplayLabel","RSSOServicesProvided","SubstanceUseServices","TelehealthRestrictions","Website","lat","lon"
"","Wheelchair","0016100001HA43ZAAT","What's Next Counseling - Littleton","0","0","1","6901 S. Pierce St Suite 100F, Littleton, CO 80128","0","0","1","What's Next Counseling - Littleton","Self Pay","0","8:30AM - 5:30PM","8:30AM - 7:30PM","8:00AM - 1:00PM","12:00PM - 4:00PM","8:30AM - 7:30PM","8:30AM - 7:30PM","8:30AM - 7:30PM","English","","","0","(720) 692-7918","Men; Women; Offender; Clients referred from Court/Judicial System","5/20/2022 12:19 PM","6901 S. Pierce St Suite 100F_BR_ENCODED_Littleton, CO 80128","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment","","www.whatsnextcounseling.com","39.5918128","-105.0733457"
"","","0016100001HA3nvAAD","Whats Next Counseling - Broomfield","0","0","1","9769 W. 119th Drive Suite 32, Broomfield, CO 80021","0","0","1","What's Next Counseling - Broomfield","","0","8:30AM - 4:00PM","8:30AM - 7:00PM","8:30AM - 2:00PM","","8:30AM - 7:00PM","8:30AM - 7:00PM","8:30AM - 7:00PM","","","","0","(720) 692-7918","","7/19/2022 10:25 AM","9769 W. 119th Drive Suite 32_BR_ENCODED_Broomfield, CO 80021","","Outpatient; Intensive Outpatient; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment","","https://whatsnextcounseling.com/","39.9124149","-105.1065728"
"yes","Wheelchair","0016100001HA3p4AAD","Heritage Outpatient Treatment Services - Parker Rd.","0","0","1","1602 S. Parker Rd., Suire 214, Denver, Colorado 80231","0","0","1","Heritage Outpatient Treatment Services","Medicaid; Self Pay; Sliding Fee Scale","0","1:00PM - 8:00PM","1:00PM - 8:00PM","11:00AM - 5:00PM","","2:00PM - 8:00PM","2:00PM - 8:00PM","2:00PM - 8:00PM","English","","Telehealth Available - No Restrictions","0","(720) 748-0523","Men; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System","6/27/2022 1:08 PM","1602 S. Parker Rd., Suire 214_BR_ENCODED_Denver, Colorado 80231","","Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System","","www.heritagecounselingcenter.com","39.6873889","-104.8861054"
"","Wheelchair","0016100001HA40eAAD","Correctional Psychology Associates - Chenango","0","0","1","2135 West Chenango Ave., Littleton, CO 80120","0","0","0","Correctional Psychology Associates - Littleton","Self Pay","0","","9:00AM - 8:30PM","","","9:00AM - 8:30PM","9:00AM - 8:30PM","9:00AM - 8:30PM","English","","","0","(720) 854-0262","HIV; LGBTQIA+; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","12/15/2022 12:45 PM","2135 West Chenango Ave._BR_ENCODED_Littleton, CO 80120","","Outpatient; General Treatment; Education & Treatment Services for Persons in Criminal Justice System","","corrpsych.com","39.6282003","-105.0136452"
"","Wheelchair","0016100001HA40fAAD","Correctional Psychology Associates - Fremont","0","0","1","14485 E Fremont Ave, Englewood, CO 80112","0","0","0","Correctional Psychology Associates - Englewood","Self Pay","0","","9:00AM - 8:30PM","","","","","","English","","","0","(720) 854-0262","HIV; LGBTQIA+; Men; Military; Older Adults; Offender; Clients referred from Court/Judicial System; American Indian","12/15/2022 12:46 PM","14485 E Fremont Ave_BR_ENCODED_Englewood, CO 80112","","Outpatient; General Treatment; Education & Treatment Services for Persons in Criminal Justice System","","http://corrpsych.com/","39.588256","-104.8208836"
"","Wheelchair","0016100001HA3vBAAT","Correctional Psychology Associates - 58th Ave","0","0","1","420 E. 58th Ave., Denver, CO 80216","0","0","0","Correctional Psychology Associates - Denver (58th Ave)","Self Pay","0","10:00AM - 6:00PM","10:00AM - 9:00PM","","","10:00AM - 9:00PM","10:00AM - 9:00PM","10:00AM - 9:00PM","English; Spanish; Mandarin","","","0","(720) 854-0262","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","6/22/2022 12:00 PM","420 E. 58th Ave._BR_ENCODED_Denver, CO 80216","","Outpatient; General Treatment; Education & Treatment Services for Persons in Criminal Justice System","","corrpsych.com","39.801326","-104.9820118"
"","","0016100001HA3xXAAT","CAPS Mental Health & DUI Services - Littleton Blvd","0","0","1","1100 W. Littleton Blvd, Suite 320, Littleton, CO 80120","0","0","1","CAPS Mental Health & DUI Services","Medicaid; Self Pay","0","","10:00AM - 6:00PM","","","11:00AM - 4:00PM","10:00AM - 4:30PM","10:00AM - 6:00PM","English","","","0","(303) 495-2550","LGBTQIA+; Men; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System","","1100 W. Littleton Blvd, Suite 320_BR_ENCODED_Littleton, CO 80120","","Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Level II Four Plus","","caps-mhds.com","39.6136283","-105.0049167"
"","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0016100001HA42CAAT","Colorado Coalition for the Homeless - Broadway","0","0","1","2100 Broadway, Denver, CO 80205","0","0","0","Colorado Coalition for the Homeless","","0","8:00AM - 5:00PM","8:00AM - 5:00PM","","","8:00AM - 5:00PM","8:00AM - 5:00PM","8:00AM - 5:00PM","English; Spanish","","","0","303.293.2220","Homeless","8/17/2022 12:25 PM","2100 Broadway_BR_ENCODED_Denver, CO 80205","","Outpatient; General Treatment","","www.coloradocoalition.org","39.7509189","-104.9870326"
"","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0016100001HA42DAAT","Colorado Coalition for the Homeless - Stout","0","0","1","2130 Stout Street, Denver, CO 80205","0","0","0","Colorado Coalition for the Homeless - Stout","","0","7:00AM - 4:00PM","7:00AM - 4:00PM","","","7:00AM - 4:00PM","7:00AM - 4:00PM","9:00AM - 6:00PM","English; Spanish","","","0","(303) 293-2220","Homeless","8/17/2022 12:26 PM","2130 Stout Street_BR_ENCODED_Denver, CO 80205","","Outpatient; General Treatment","","www.coloradocoalition.org","39.7510297","-104.9858915"
"","","0016100001HA3i0AAD","Third Way Center - Lowry","1","0","1","9100 E Lowry Blvd, Denver, Colorado 80230","0","0","0","Third Way Center - Denver (Lowry Blvd)","Medicaid; Private Insurance","0","5:00AM - 12:00AM","5:00AM - 12:00AM","5:00AM - 12:00AM","","5:00AM - 12:00AM","5:00AM - 12:00AM","5:00AM - 12:00AM","English; Spanish","Residential Long Term Treatment; Residential Short Term Treatment","","0","(303)780-9191","Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System","6/1/2022 3:05 PM","9100 E Lowry Blvd_BR_ENCODED_Denver, Colorado 80230","","Outpatient; Intensive Outpatient; Youth Treatment","","www.thirdwaycenter.org","39.724826","-104.8812875"
"","","0016100001HA3i1AAD","Third Way Center-Lincoln","1","0","1","1133 Lincoln Street, Denver, CO 80203","0","0","0","Third Way Center - Denver (Lincoln St)","Medicaid; Private Insurance","0","5:00AM - 12:00AM","5:00AM - 12:00AM","5:00AM - 12:00AM","","5:00AM - 12:00AM","5:00AM - 12:00AM","5:00AM - 12:00AM","English; Spanish","Residential Long Term Treatment; Residential Short Term Treatment","","0","(303) 780-9191","Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System","6/1/2022 3:20 PM","1133 Lincoln Street_BR_ENCODED_Denver, CO 80203","","Outpatient; Intensive Outpatient; Youth Treatment","","www.thirdwaycenter.org","39.7345873","-104.9865077"
"","","0016100001HA3i2AAD","Third Way Center Inc - Pontiac","0","0","1","1735 Pontiac Street, Denver, CO 80206","0","0","0","Third Way Center - Denver (Pontiac St)","Medicaid; Private Insurance","0","5:00AM - 12:00AM","5:00AM - 12:00AM","5:00AM - 12:00AM","","5:00AM - 12:00AM","5:00AM - 12:00AM","5:00AM - 12:00AM","English; Spanish","Residential Long Term Treatment; Residential Short Term Treatment; Residential Child Care Facility","","0","(303) 388-3545","Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System","6/1/2022 3:18 PM","1735 Pontiac Street_BR_ENCODED_Denver, CO 80206","","Outpatient; Intensive Outpatient; Youth Treatment","","www.thirdwaycenter.org","39.744598","-104.9061718"
"","","0016100001HA3k2AAD","Third Way Center Inc - Bannock","1","0","1","4821 Bannock Street, Englewood, CO 80110","0","0","0","Third Way Center - Englewood","Medicaid; Private Insurance","0","5:00AM - 12:00AM","5:00AM - 12:00AM","5:00AM - 12:00AM","","5:00AM - 12:00AM","5:00AM - 12:00AM","5:00AM - 12:00AM","English","Residential Long Term Treatment; Residential Short Term Treatment; Residential Child Care Facility","","0","(303)780-9191","Minors/Adolescents","6/1/2022 3:14 PM","4821 Bannock Street_BR_ENCODED_Englewood, CO 80110","","Outpatient; Intensive Outpatient; Youth Treatment","","www.thirdwaycenter.org","39.6289063","-104.9907526"
"","","0016100001HA3i3AAD","Third Way Center - York","1","0","1","1295 York Street, Denver, CO 80206","0","0","0","Third Way Center - Denver (York St)","Medicaid; Private Insurance","0","5:00AM - 12:00AM","5:00AM - 12:00AM","5:00AM - 12:00AM","","5:00AM - 12:00AM","5:00AM - 12:00AM","5:00AM - 12:00AM","English; Spanish","Residential Long Term Treatment; Residential Short Term Treatment","","0","(303) 780-9191","Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System","7/19/2022 10:06 AM","1295 York Street_BR_ENCODED_Denver, CO 80206","","Outpatient; Intensive Outpatient; Youth Treatment","","https://thirdwaycenter.org/","39.736669","-104.960138"
"yes","","0016100001HA3r0AAD","BAC Counseling - Federal","0","0","1","1926 S Federal Blvd   Unit H, Denver, CO 80219","0","0","1","BAC Counseling","Self Pay","0","2:00PM - 6:00PM","2:00PM - 7:00PM","11:00AM - 5:00PM","12:00PM - 3:00PM","2:00PM - 7:00PM","","2:00PM - 7:00PM","English; Spanish","","","0","(303) 477-3540","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","12/14/2022 4:22 PM","1926 S Federal Blvd   Unit H_BR_ENCODED_Denver, CO 80219","","Outpatient; General Treatment; DUI/DWI","","","39.6816705","-105.0245335"
"","","0016100001HA3o9AAD","Spanish Clinic LLC - Dayton","1","0","1","1400 Dayton Street, Aurora, CO 80010","0","1","1","Spanish Clinic - Aurora","Medicaid; Self Pay; Sliding Fee Scale","0","2:00PM - 6:00PM","9:00AM - 8:00PM","","","9:00AM - 8:00PM","9:00AM - 8:00PM","9:00AM - 8:00PM","English; Spanish","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(720) 920-9508","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","6/21/2022 2:10 PM","1400 Dayton Street_BR_ENCODED_Aurora, CO 80010","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Gender Responsive Treatment for Women; Level II Four Plus","","www.spanish-clinic.com","39.7384235","-104.8750613"
"","","0016100001HA3aQAAT","Spanish Clinic LLC - Morrison","1","0","1","4200 Morrison Rd. Unit 8, Denver, Colorado 80219","0","1","1","Spanish Clinic - Denver (Morrison Rd)","Medicaid; Self Pay; Sliding Fee Scale","0","2:00PM - 6:00PM","2:00PM - 8:00PM","9:00AM - 12:00PM","","2:00PM - 8:00PM","2:00PM - 8:00PM","2:00PM - 8:00PM","English; Spanish","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(303) 934-3040","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","6/21/2022 2:12 PM","4200 Morrison Rd. Unit 8_BR_ENCODED_Denver, Colorado 80219","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Gender Responsive Treatment for Women; Level II Four Plus","","www.spanish-clinic.com","39.7043428","-105.0419063"
"","","0016100001HA3ooAAD","Spanish Clinic LLC - 39th Ave.","1","0","1","12445 E. 39th Ave. Unit 207, Denver, CO 80239","0","1","1","Spanish Clinic - Denver (39th Ave)","Medicaid; Self Pay; Sliding Fee Scale","0","2:00PM - 6:00PM","2:00PM - 8:00PM","","","2:00PM - 8:00PM","2:00PM - 8:00PM","2:00PM - 8:00PM","English; Spanish","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(720) 335-6651","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","6/21/2022 12:00 PM","12445 E. 39th Ave. Unit 207_BR_ENCODED_Denver, CO 80239","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Gender Responsive Treatment for Women","","www.spanish-clinic.com","39.7718066","-104.8437746"
"","Deaf/Hard of Hearing; Wheelchair","0016100001HA3xaAAD","Porter Adventist Hospital - Downing","1","0","0","2525 South Downing Street, Denver, CO 80210","0","0","0","Porter Adventist Hospital","Medicaid; Private Insurance; Self Pay","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","English; Spanish; Cantonese; Mandarin; French; Cambodian; Mongolian; Polish; Russian; Ukrainian; Vietnamese; German","Hospital; Emergency; Outpatient; 72-Hour Treatment & Evaluation","","0","(303) 778-5811","Homeless; Men; Military; Older Adults; Women","11/28/2022 3:48 PM","2525 South Downing Street_BR_ENCODED_Denver, CO 80210","","","","www.centura.org","39.6705695","-104.9745722"
"","Wheelchair","0016100001Ih2hxAAB","Genesis Counseling of the Rockies, LLC-  Dry Creek","0","0","1","8 West Dry Creek Circle, #155, Littleton, CO 80120","0","0","1","Genesis Counseling of the Rockies - Substance Abuse Treatment","Self Pay; Sliding Fee Scale","0","","12:00PM - 4:30PM","","","12:00PM - 4:30PM","12:00PM - 4:30PM","12:00PM - 4:30PM","English","","","0","(303) 798-6464","HIV; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Clients referred from Court/Judicial System; American Indian","5/19/2022 11:56 AM","8 West Dry Creek Circle, #155_BR_ENCODED_Littleton, CO 80120","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment","","www.gcrockies.com","39.5829601","-104.9891779"
"","","0016100001HA3rUAAT","Centerboard Wellness Center LLC - Jewell","0","0","1","4155 Jewell Ave., Denver, CO 80222","0","0","1","Centerboard Wellness Center - Denver (Jewell Ave)","Self Pay","0","8:00AM - 5:00PM","8:00AM - 5:00PM","","","8:00AM - 7:00PM","8:00AM - 8:00PM","8:00AM - 7:00PM","English; Spanish","","","0","(720) 324-0008","LGBTQIA+","7/15/2022 10:32 AM","4155 Jewell Ave._BR_ENCODED_Denver, CO 80222","","Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment","","https://www.centerboardwellnesscenter.com/","39.6834805","-104.9383834"
"","","0014M00001k97uJQAQ","Centerboard Wellness Center - Welton","0","0","1","2590 Welton St Suite 290, Denver, CO 80205","0","0","1","Centerboard Wellness Center - Denver (Welton St)","Self Pay","0","7:00AM - 7:00PM","7:00AM - 7:00PM","7:00AM - 7:00PM","7:00AM - 7:00PM","7:00AM - 7:30PM","7:00AM - 7:00PM","7:00AM - 7:00PM","English; Spanish","","","0","(720) 324-0008","LGBTQIA+","","2590 Welton St Suite 290_BR_ENCODED_Denver, CO 80205","","Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment","","www.centerboardwellnesscenter.com","39.7534694","-104.9793189"
"","","0016100001HA3uAAAT","The Raleigh House of Hope - DTC","0","0","1","4401 Quebec St. Suite 101 & 200, Denver, CO 80237","0","0","0","The Raleigh House of Hope - Denver","Private Insurance; Self Pay","0","8:00AM - 5:00PM","8:00AM - 8:30PM","","","8:00AM - 8:30PM","8:00AM - 8:30PM","8:00AM - 5:00PM","English","","","0","(720) 484-4996","HIV; LGBTQIA+; Men; Military; Older Adults; Women; American Indian","7/19/2022 10:04 AM","4401 Quebec St. Suite 101 & 200_BR_ENCODED_Denver, CO 80237","","Outpatient; Intensive Outpatient; General Treatment; Day Treatment (Partial Hospitalization)","","https://www.theraleighhouse.com/","39.6369569","-104.9045177"
"","Wheelchair","0016100001ZcJwJAAV","The Ranch at The Raleigh House of Hope - Almstead","0","0","1","325 S Almstead Road, Watkins, Colorado 80137","0","0","0","The Ranch at The Raleigh House of Hope","Private Insurance; Self Pay","0","8:00AM - 8:00AM","8:00AM - 8:00AM","8:00AM - 8:00AM","8:00AM - 11:30PM","8:00AM - 8:00AM","8:00AM - 8:00AM","8:00AM - 8:00AM","English","","","0","(720) 484-4996","HIV; Homeless; LGBTQIA+; Men; Older Adults; Women; American Indian","6/22/2022 4:18 PM","325 S Almstead Road_BR_ENCODED_Watkins, Colorado 80137","","General Treatment; Day Treatment (Partial Hospitalization); Clinically Managed Residential Detoxification; Medically Monitored Intensive Residential Treatment","","www.theraleighhouse.com","39.709657","-104.570398"
"","","0016100001HA3yLAAT","New Start Recovery, LLC - Aztec","0","0","1","Please contact this provider directly for location","0","0","1","New Start Recovery, LLC","Self Pay; Sliding Fee Scale","1","8:00AM - 9:00PM","8:00AM - 9:00PM","10:00AM - 2:00PM","","8:00AM - 9:00PM","8:00AM - 9:00PM","8:00AM - 9:00PM","English","","Telehealth Only","0","(720) 275-7318","Homeless; Men; Military; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","11/4/2022 3:42 PM","Please contact this provider directly for location","","Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System","","","",""
"","","0016100001HA3qlAAD","Running Creek Counseling Service - Pony Express","0","0","1","18425 Pony Express Dr., Parker, CO 80134","0","1","0","Running Creek Counseling Service","Medicaid; Self Pay","0","9:00AM - 5:00PM","9:00AM - 9:00PM","","","9:00AM - 9:00PM","9:00AM - 9:00PM","9:00AM - 9:00PM","English","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(303) 748-9408","Men; Military; Women; Offender; Minors/Adolescents; Clients referred from Court/Judicial System","6/1/2022 3:29 PM","18425 Pony Express Dr._BR_ENCODED_Parker, CO 80134","","Outpatient; General Treatment; DUI/DWI; Youth Treatment","","www.rcccounseling.com","39.522506","-104.7751116"
"","Deaf/Hard of Hearing; Wheelchair","0016100001HA3ryAAD","Mountain Crest Behavioral Health/UC Health - Corbett Dr","1","0","1","4601 Corbett Dr, Fort Collins, Colorado 80528","0","0","0","Mountain Crest Behavioral Health Center","Medicaid; Private Insurance; Self Pay","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","English","Hospital; Emergency; Outpatient; 72-Hour Treatment & Evaluation; Residential Short Term Treatment","","0","(970) 207-4800","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Minors/Adolescents","7/18/2022 1:59 PM","4601 Corbett Dr_BR_ENCODED_Fort Collins, Colorado 80528","","Intensive Outpatient; General Treatment; Medically Monitored Inpatient Detoxification","","https://www.uchealth.org/locations/uchealth-mountain-crest-behavioral-health-center/","40.5220128","-105.0284598"
"yes","Visually Impaired; Wheelchair","0016100001HA3kgAAD","Touchstone Counseling - Cascade","0","0","1","118 N Cascade, Montrose, CO 81401","0","0","1","Touchstone Counseling","Self Pay; Sliding Fee Scale","0","8:00AM - 3:00PM","9:30AM - 7:30PM","8:00AM - 12:00PM","","9:30AM - 7:00PM","9:30AM - 7:00PM","9:30AM - 7:00PM","English; Spanish","","No Telehealth Available","0","(970) 249-2872","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian; Latinx","12/16/2022 9:13 AM","118 N Cascade_BR_ENCODED_Montrose, CO 81401","","Outpatient; DUI/DWI","","","38.480619","-107.877663"
"","","0016100001HA3h9AAD","Personal Growth Counseling, LLC - 30 Rd.","0","0","1","524 30 Road, Suite 5B, Grand Junction, CO 81504","0","0","1","Personal Growth Counseling, LLC","Self Pay; Sliding Fee Scale","0","9:00AM - 1:00PM","9:00AM - 5:00AM","","","9:00AM - 7:00PM","9:00AM - 7:00PM","9:00AM - 8:00PM","English","","","0","(970) 523-5282","Clients referred from Court/Judicial System","6/1/2022 3:35 PM","524 30 Road, Suite 5B_BR_ENCODED_Grand Junction, CO 81504","","Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Level II Four Plus","","pgcgj.com","39.0808465","-108.4960909"
"","","0016100001HA3nVAAT","Life Recovery Center-Northglenn","1","0","1","10699 Melody Drive Suite 2, Northglenn, CO 80243","0","1","1","Life Recovery Center - Northglenn","","0","","12:00PM - 8:00PM","8:00AM - 12:00PM","","12:00PM - 8:00PM","12:00PM - 8:00PM","12:00PM - 8:00PM","Spanish","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(303) 252-4179","","7/18/2022 11:16 AM","10699 Melody Drive Suite 2_BR_ENCODED_Northglenn, CO 80243","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Level II Four Plus","","https://www.liferecoverycenters.net/","39.891392","-104.9937652"
"","Wheelchair","0016100001HA3ubAAD","Life Recovery Center - Colorado Blvd","1","0","1","2425 S Colorado Blvd Ste 150, Denver, CO 80222","0","1","1","Life Recovery Center - Denver","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","9:00AM - 6:00PM","8:00AM - 9:00PM","","","12:00PM - 8:00PM","9:00AM - 8:00PM","12:00PM - 8:00PM","English; Spanish","Community Mental Health Clinic","","0","(303) 252-4179","HIV; LGBTQIA+; Men; Military; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System","","2425 S Colorado Blvd Ste 150_BR_ENCODED_Denver, CO 80222","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Level II Four Plus","","www.liferecoverycenters.net","39.672723","-104.9413494"
"","","0016100001HA3uiAAD","Veterans Affairs Medical Center - Denver","1","0","0","1700 N Wheeling St., Aurora, CO 80045","0","0","0","Rocky Mountain Regional Veterans Affairs Medical Center - Denver","Private Insurance; Sliding Fee Scale","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","English","Hospital; Emergency; Outpatient; 72-Hour Treatment & Evaluation","","0","(720) 723-3837","","11/28/2022 3:49 PM","1700 N Wheeling St._BR_ENCODED_Aurora, CO 80045","","","","https://www.va.gov/eastern-colorado-health-care/","39.7414833","-104.830031"
"","","0016100001HA3okAAD","CoreCivic, dba Correctional Management Inc","0","0","1","4511 E 46th Ave, Denver, CO 80216","0","0","0","CoreCivic - Dahlia","","0","","","","","","","","","","","0","720-407-8061","Offender","7/15/2022 12:16 PM","4511 E 46th Ave_BR_ENCODED_Denver, CO 80216","","Outpatient; Intensive Outpatient; Education & Treatment Services for Persons in Criminal Justice System; Medically Monitored Intensive Residential Treatment","","https://www.corecivic.com/","39.7809372","-104.934733"
"","","0014M000026sDx0QAE","CoreCivic","0","0","1","14485 E. Fremont, Englewood, Colorado 80112","0","0","0","CoreCivic CCTC","","0","","","","","","","","","","","0","3034775190","","8/9/2022 12:27 PM","14485 E. Fremont_BR_ENCODED_Englewood, Colorado 80112","","Outpatient; Intensive Outpatient; Education & Treatment Services for Persons in Criminal Justice System; Clinically Managed High Intensity Residential Services","","","39.588256","-104.8208836"
"yes","","0016100001HA3goAAD","A Womans Way to Recovery AND Your Way to Recovery","0","0","1","8751 East Hampden Avenue. Unit B2, Denver, CO 80231","0","0","1","A Woman's Way to Recovery AND Your Way to Recovery","Private Insurance","0","","10:00AM - 7:00PM","","","10:00AM - 6:00PM","10:00AM - 6:00PM","10:00AM - 7:00PM","English","","Telehealth Available - No Restrictions","0","(303) 523-0621","LGBTQIA+; Men; Older Adults; Women; Clients referred from Court/Judicial System","12/11/2022 1:56 PM","8751 East Hampden Avenue. Unit B2_BR_ENCODED_Denver, CO 80231","","Outpatient; General Treatment; DUI/DWI; Gender Responsive Treatment for Women","","A-womans-way-to-recovery.com","39.6546665","-104.8864901"
"yes","","0016100001HA3hQAAT","HalfMoon Resources - Timnath","0","0","1","Please contact this provider directly for location","0","0","1","HalfMoon Resources","Self Pay","1","9:00AM - 5:00PM","9:00AM - 7:30PM","10:00AM - 8:00PM","10:00AM - 7:00PM","9:00AM - 5:30AM","9:30AM - 8:00PM","","English","","Telehealth Only","0","(970) 412-4998","LGBTQIA+; Men; Women","11/16/2022 10:35 AM","Please contact this provider directly for location","","Outpatient; General Treatment; DUI/DWI","","http://www.halfmoonresources.com/","",""
"yes","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0016100001HA3oQAAT","Partnership for Progress - Kendall","0","0","1","100 Kendall Drive, Lamar, CO 81052","0","0","1","Southeast Health Group - Lamar","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","8:00AM - 6:00PM","8:00AM - 6:00PM","","","8:00AM - 6:00PM","8:00AM - 6:00PM","8:00AM - 6:00PM","English; Spanish","","Telehealth Available - No Restrictions","0","(719) 384-5446","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","8/17/2022 2:59 PM","100 Kendall Drive_BR_ENCODED_Lamar, CO 81052","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Gender Responsive Treatment for Women; Level II Four Plus","","www.southeasthealthgroup.org","38.0645546","-102.6191086"
"yes","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0016100001HA3oRAAT","Partnership for Progress - 9th","0","0","1","189 E. 9th Avenue, Springfield, CO 81073","0","0","1","Southeast Health Group - Springfield","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","8:00AM - 5:00PM","8:00AM - 5:00PM","","","8:00AM - 5:00PM","8:00AM - 5:00PM","8:00AM - 5:00PM","English; Spanish","","Telehealth Available - No Restrictions","0","(719) 384-5446","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","8/17/2022 2:55 PM","189 E. 9th Avenue_BR_ENCODED_Springfield, CO 81073","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Gender Responsive Treatment for Women","","www.southeasthealthgroup.org","37.405255","-102.6153453"
